Lesson,Key Structures Learned,Key Vocabulary Introduced
Part 1: Foundations,,
"Lesson 1: Click Consonants (c, x, q)","Click Consonants (c, x, q)","Cala (side), Gxeka (criticize), Qala (start), ixesha (time)"
"Lesson 2: Subject Concords (ndi-, u-), Adjectival Agreement","Subject Concords (ndi-, u-), Adjectival Agreement","-khulu (big), -ncinci (small), -hle (beautiful/good)"
"Lesson 3: Noun Class 1/2 (um-/aba-), Noun Class Agreement","Noun Class 1/2 (um-/aba-), Noun Class Agreement","umntu (person), abantu (people), umfundi (student)"
Lesson 4: Simple Present Tense Verb Construction,Simple Present Tense Verb Construction,"-funa (to want), iti (tea), -tya (to eat), isonka (bread)"
Lesson 5: Negative Verb Form (a-...-i),Negative Verb Form (a-...-i),-azi (to know)
Lesson 6: Noun Class 3/4 (um-/imi-),Noun Class 3/4 (um-/imi-),"umthi (tree), imithi (trees), umsebenzi (work, n.)"
"Lesson 7: Possessive Stems & Concords (-am, -akho)","Possessive Stems & Concords (-am, -akho)",imali (money)
Lesson 8: Long Present Tense (-ya- infix),Long Present Tense (-ya- infix),-ya (to go)
Lesson 9: Noun Class 5/6 (ili-/ama-),Noun Class 5/6 (ili-/ama-),"ilitye (stone), amatye (stones), izulu (sky/weather)"
Lesson 10: Review of Part 1 Structures,Review of Part 1 Structures,-lala (to sleep)
Part 2: The Verb and Sentence Structure,,
Lesson 11: Verb Structure: SC + Tense + Root,Verb Structure: SC + Tense + Root,"-sebenza (to work), -funda (to read/study), -thetha (to speak)"
Lesson 12: Verb Agreement with Noun Classes,Verb Agreement with Noun Classes,ugqirha (doctor)
"Lesson 13: Object Concord (-ku-, -ndi-)","Object Concord (-ku-, -ndi-)","-bona (to see), -va (to hear/feel)"
Lesson 14: Perfect Past Tense (-ile suffix),Perfect Past Tense (-ile suffix),-pheka (to cook)
Lesson 15: Future Tense (-za- infix + uku-),Future Tense (-za- infix + uku-),-thenga (to buy)
Lesson 16: Noun Class 7/8 (isi-/izi-),Noun Class 7/8 (isi-/izi-),"isihlalo (chair), izihlalo (chairs), isikolo (school)"
Lesson 17: Weaving Tenses and Noun Classes,Weaving Tenses and Noun Classes,-hlala (to live/stay)
Lesson 18: Possessive Concords for all Noun Classes,Possessive Concords for all Noun Classes,impahla (clothes)
